Name,Interests,Department
Isao Kubo,agriculture~insect biology~pest management,"Environmental Science, Policy &amp; Management"
Isha Ray,Water and development; Gender~water and sanitation; technology and development,Energy &amp; Resources Group
Iswar Hariharan,growth regulation~regeneration~cancer,Department of Molecular &amp; Cell Biology
Ivonne del Valle,colonial period in M̩xico~internal colonialism in Mexico~Jesuits (Loyola~Acosta~Baegert)~Baroque and Enlightenment from a colonial perspective~technology and environment~drainage of Mexico City lakes~Christianity and Pre-Hispanic religions.,Department of Spanish and Portuguese
J George Shanthikumar,scheduling~production system modelling &amp; analysis~queueing theory &amp; applications~reliability &amp; probability theory~sequencing~simulation methodology~stochastic processes &amp; modelling,Department of Industrial Engineering &amp; Operations Research
J. Bradford DeLong,economics~globalization~economic growth~convergence~economics of post WWII Europe,Department of Economics
J. Karl Hedrick,nonlinear control~automotive control systems~aircraft control,Department of Mechanical Engineering
J. Keith Gilless,environmental policy~resource economics~forestry~forest economics~wildland fire,"Environmental Science, Policy &amp; Management"
J. Miguel Villas-Boas,economics~competitive strategy~industrial organization~customer relationship management~internet strategies,Haas School of Business
J. Nicholas Ziegler,political science~technology~corporate governance~comparative political economy~European politics~political ideologies~politics of economic reform in Germany~politics of property rights in Germany,Department of Political Science
J. Theodore Pe̱a,Roman archaeology~Roman and pre-Roman Italy~city of Rome~Pompeii~ancient economy~ceramic analysis~material culture studies,Department of Classics
J. W. Evans,production of materials~particularly fluid flow~reaction kinetics~mass transport~electrochemical~electromagnetic phenomena governing processes for producing materials~metals~storing energy,Department of Materials Science and Engineering
"J.W. Morris, Jr",structural materials~computational materials~the limits of strength~deformation mechanisms~non-destructive testing with SQUID microscopy~mechanisms of grain refinement in high strength steels~lead-free solders for microelectronics,"Department of Environmental Science, Policy &amp; Management"
Jabari Mahiri,language~culture~society~literacy~literacy learning of urban youth~African American students in schools~writing development~effective teaching~learning strategies in multicultural urban schools and communities,Graduate School of Education
Jack Citrin,immigration~multiculturalism~taxation~survey research~political trust~California politics psychology~public opinion~political identity~alienation,Department of Political Science
Jack Glaser,research methods~public policy~experimental social psychology~hate crime~political psychology~stereotyping~racial profiling~prejudice &amp; discrimination~nonconscious social cognition,Goldman School of Public Policy
Jack Kirsch,enzymology~directed evolution~drug discovery,Department of Molecular &amp; Cell Biology
Jack L. Gallant,vision science~form vision~attention~fMRI~computational neuroscience~natural scene perception~brain encoding~brain decoding,Department of Psychology
Jack M. Potter,anthropology~social anthropology~U.S.~Thailand~classical social theory~peasants~change~ethnographic film~China,Department of Anthropology
Jack P. Moehle,earthquake engineering~structural engineering~reinforced concrete~performance-based earthquake engineering~high-rise buildings~lifeline systems~rehabilitation (retrofitting)~laboratory testing,Department of Civil and Environmental Engineering
Jacob Dalton,religion~ritual~Tibet~Buddhism~Tantra~Dunhuang,Department of East Asian Languages and Cultures~Department of South and Southeast Asian Studies
Jacob Feldman,mathematics~stochastic processes~ergodic theory,Department of Statistics
Jacob Lubliner,plasticity~viscoelasticity,Department of Civil and Environmental Engineering
Jacques de Caso,history of European art of the XVIIIIth and XIXth centuries,Department of History of Art
Jaleh Pirnazar,Near Eastern studies,Department of Economics
James A. Matisoff,linguistics~Japanese~Southeast Asian languages~Tibeto-Burman~Thai~Chinese~field linguistics~Yiddish studies~historical semantics~psychosemantics~language typology~areal linguistics,Department of Linguistics
James A. Sethian,mathematics~applied mathematics~partial differential equations~computational physics~level set Methods~computational fluid mechanics and materials sciences. fast marching methods,College of Letters and Science
James A. Wilcox,mergers~acquisitions~bank capital~effects of economic conditions on banks~business conditions~federal reserve monetary policy~interest rates~inflation~consumer spending~cost reductions via mergers~bank lending~small business lending~unemployment.,Haas School of Business
James Analytis,Experimental Condensed Matter Physics,Department of Physics
James Berger,structural &amp; mechanistic biochemistry of macromolecular assemblies &amp; machines~multiprotein complexes; DNA replication~maintenance of chromosome superstructure;catalytic mechanism &amp; enzyme/small-molecule inhibitor studies,Department of Molecular &amp; Cell Biology
James Casey,continuum mechanics~finite elasticity~continuum thermodynamics~plasticity~theories of elastic-plastic materials~history of mechanics~dynamics,Department of Bioengineering
James Davies,musics and bodies~cultural performance~romanticisms~nineteenth-century music~histories of science~pianists and pianos~singers and voice~music pedagogy and training~South Africa~colonial melodrama~township opera,Department of Music
James Demmel,computer science~scientific computing~numerical analysis~linear algebra,Division of Computer Science/EECS
James Grantham Turner,gender~sexuality~English~16th-18th-Century English~Italian and French literature~art and literature~17th-Century political writing~landscape and the city~Enlightenment materialism~sexuality in Renaissance Italian art and Antiquity,Department of English
James Holston,citizenship~Brazil~architecture~law~planning~the United States~cities~democracy~political and social anthropology~urban ethnography~the Americas,Department of Anthropology
James K. B. Bishop,ocean carbon cycle dynamics~remote sensing~aquatic chemistry~marine biogeochemistry~land - ocean biogeochemistry~chemical oceanography~ocean sensors and autonomous observing systems~Carbon Explorer~Carbon Flux Explorer.,Department of Earth and Planetary Science
James Kirchner,evolutionary ecology~biogeochemistry~earth and planetary sciences~geomorphology~watershed hydrology &amp; geochemistry,Department of Earth and Planetary Science
James L. Patton,evolutionary biology~North America~biogeography~South America~morphology~mammalogy~phylogenesis~speciation~populations~genome structure~molecular divergence~gopher population dynamics,Department of Integrative Biology
James L. Powell,economics~endogeneity in semiparametric binary response models~instrumental variables estimation of nonparametric models~endogeneity in nonparametric and semiparametric regression models,Department of Economics
